model_size,mode,use_bf16,mean_s,stdev_s,min_s,max_s,n
small,forward,False,0.023119388000031903,8.382103184817394e-05,0.022993644000052882,0.023240685999553534,10.0
small,forward,True,0.02558513590001894,0.00018683810856660415,0.02536472900010267,0.025872639999761304,10.0
small,forward-backward,False,0.0537236677000692,0.00028826800665741165,0.05328268900029798,0.054194956999708666,10.0
small,forward-backward,True,0.06019287630024337,0.0007548704007087456,0.05909592300031363,0.06191033600043738,10.0
medium,forward,False,0.036429942799895795,0.0007353451706057932,0.03551502599930245,0.03759315599927504,10.0
medium,forward,True,0.038376059599977454,0.0001545312758598664,0.038201645999834,0.03868260099989129,10.0
medium,forward-backward,False,0.0799939266002184,0.0007672378783774729,0.07915525299995352,0.08119719600017561,10.0
medium,forward-backward,True,0.0887588677000167,0.0006924482255152416,0.08781983100016078,0.09007519999977376,10.0
large,forward,False,0.07054296720007187,0.00038659492265279377,0.06998600600036298,0.07133431200054474,10.0
large,forward,True,0.07741252130017529,0.0005473807883491689,0.07676948000062112,0.0786710669999593,10.0
large,forward-backward,False,0.2156381182999212,0.0017016634073143868,0.21391518300060852,0.2193979389994638,10.0
large,forward-backward,True,0.18016704839992598,0.0015202685187400379,0.17807750699921598,0.18332289699992543,10.0
